Team(1),Team(2),Total Player,GOALKEEPER,Not specified,Reps(min),Load(min),Rest time(min),P.E.,A.E,Load/Rest time (min),Football pitch(1),Football pitch(2),total football pitch in yards,Pitch per player,%HFmax,%HFres,Blood lactate,RPE (CR10)
7,7,14,0,0,4,12,2,0,0,6,60,40,2400,171.4285714,81.3,0,0,0
4,4,8,0,0,4,12,2,0,0,6,44,33,1452,181.5,82.8,0,0,0
2,2,4,0,0,5,10,2.5,0,0,4,0,0,0,0,82.1,0,0,0
7,7,14,0,0,1,60,0,0,0,0,60,45,2700,192.8571429,88.1,0,0,0
7,7,14,0,0,1,60,0,0,0,0,60,45,2700,192.8571429,84.9,0,0,0
4,4,8,0,0,1,60,0,0,0,0,22,16,352,44,83.6,0,0,0
3,3,6,0,0,4,15,2,0,0,7.5,9,7,63,10.5,80.4,0,0,0
3,3,6,0,0,4,15,2,0,0,7.5,20,13,260,43.33333333,79.5,0,0,0
3,3,6,0,0,4,12,4,0,0,3,31,15.5,480.5,80.08333333,84.1,0,5.9,4.7
5,5,10,0,0,4,12,4,0,0,3,40,20,800,80,84.5,0,5.9,4.9
7,7,14,0,0,4,12,4,0,0,3,47,23.3,1095.1,78.22142857,82.8,0,5.5,4.6
3,3,6,0,0,4,12,4,0,0,3,40,20,800,133.3333333,85.7,0,7.4,6.7
5,5,10,0,0,4,12,4,0,0,3,40,20,800,80,84.2,0,6.1,5.2
7,7,14,0,0,4,12,4,0,0,3,40,20,800,57.14285714,80.7,0,4.5,4.3
4,4,8,2,0,3,6,3,0,0,2,47.7,29.5,1407.15,175.89375,0,0,6.6,0
8,8,16,2,0,2,18,3,0,0,6,85.9,53.2,4569.88,285.6175,0,0,4.6,0
7,7,14,2,0,1,12,0,0,0,0,60,49,2940,210,75.6,0,0,0
7,7,14,2,0,1,12,0,0,0,0,60,49,2940,210,74.3,0,0,0
7,7,14,2,0,1,12,0,0,0,0,60,49,2940,210,82.2,0,0,0
4,4,8,0,0,4,4,2,2,0,2,40,30,1200,150,87.6,0,0,0
4,4,8,0,2,4,4,2,2,0,2,40,30,1200,150,86.6,0,0,0
4,4,8,0,2,4,4,2,2,0,2,40,30,1200,150,86.5,0,0,0
4,4,8,2,0,4,4,2,2,0,2,40,30,1200,150,88.5,0,0,0
4,4,8,2,2,4,4,2,2,0,2,40,30,1200,150,88.6,0,0,0
4,4,8,2,2,4,4,2,2,0,2,40,30,1200,150,82.6,0,0,0
3,3,6,0,0,4,3,2,2,0,1.5,16,8,128,21.33333333,88,0,0,0
8,8,16,2,0,2,25,5,5,0,5,62,44,2728,170.5,77,0,0,0
4,4,8,0,0,4,4,3,3,0,1.333333333,30,20,600,75,85.4,0,0,6.6
4,4,8,0,0,4,4,3,3,0,1.333333333,30,20,600,75,82,0,0,5.9
5,5,10,0,0,4,4,3,3,0,1.333333333,35,25,875,87.5,0,0,0,6
6,6,12,2,0,4,7,2,2,0,3.5,40,34,1360,113.3333333,87.7,0,0,5.3
6,6,12,2,0,4,7,2,2,0,3.5,40,34,1360,113.3333333,90.4,0,0,5.9
6,6,12,2,0,4,7,2,2,0,3.5,40,34,1360,113.3333333,89.3,0,0,5.8
6,6,12,2,0,4,7,2,2,0,3.5,40,34,1360,113.3333333,93.3,0,0,7.6
3,3,6,0,0,4,4,2,2,0,2,22,22,484,80.66666667,84,0,0,7.4
3,3,6,0,0,4,4,2,2,0,2,19,25,475,79.16666667,86,0,0,7.9
4,4,8,0,0,4,4,2,2,0,2,25,25,625,78.125,83,0,0,6.7
4,4,8,0,0,4,4,2,2,0,2,22,28,616,77,79,0,0,6.3
